division,round,instance,matchnum,red1,red2,red3,blue1,blue2,blue3,redscore,bluescore,redsit,bluesit,scored,winner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,1,2606C,5447A,,2625B,6442A,,23,11,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,2,246A,6181A,,4898B,632B,,35,16,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,3,3010A,9421,,2600C,6916D,,52,20,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,4,2625C,2865A,,6091A,2442B,,6,22,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,5,4886A,2606B,,6916E,2606A,,22,12,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,6,2442D,2600A,,2442C,8813A,,29,30,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,7,798M,6769A,,1615A,246,,27,54,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,8,2442A,1615B,,2625,798A,,38,17,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,9,44,6181B,,2600B,2625A,,54,27,,,TRUE,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
1,2,1,10,6769B,632A,,4898A,5447A,,10,24,,,TRUE,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/8/2014 22:30,2/8/2014 22:30,0,n/a,
