rank,teamnum,teamname,wins,losses,ties,wp,sp
1,44,Green Egg Robotics,6,0,0,12,215
2,3010A,Light Speed Robotics Team,6,0,0,12,186
3,5447A,Quabbin High School A,6,0,0,12,126
4,1615A,Patribots,5,1,0,10,153
5,2442A,Bancroft Robodogs #1,5,1,0,10,153
6,8813A,The Dreaming Robot,5,1,0,10,141
7,4886A,Black Mesa,5,1,0,10,135
8,798M,MA Robotics,5,1,0,10,121
9,6181A,Wachusett Regional High A,5,1,0,10,106
10,4898A,Pioneer Robotics,5,1,0,10,93
11,246,Overclocked,4,2,0,8,174
12,2625,Tech-Know Commandos,4,2,0,8,146
13,6442A,Shepherd Hill High A,4,2,0,8,128
14,1615B,Patribots,4,2,0,8,126
15,246A,Overclocked,4,2,0,8,123
16,6769A,St. Peter-Marian HS,3,3,0,6,175
17,2442D,Bancroft Robodogs #4,3,3,0,6,167
18,2600B,North High School A,3,3,0,6,130
19,6916D,BVT VEX robotics,3,3,0,6,129
20,2442C,Bancroft Robodogs #3,3,3,0,6,105
21,6181B,Wachusett Regional High B,3,3,0,6,94
22,2606A,South High School,3,3,0,6,88
23,632A,Plymouth,3,3,0,6,67
24,2606C,South High School,3,3,0,6,42
25,2442B,Bancroft Robodogs #2,2,4,0,4,128
26,2606B,South High School,2,4,0,4,118
27,6091A,Global Learning Charter A,2,4,0,4,106
28,798A,MA Robotics,2,4,0,4,101
29,2625C,C,2,4,0,4,49
30,632B,Plymouth,1,5,0,2,129
31,6916E,BVT VEX robotics,1,5,0,2,119
32,2600A,North High School A,1,5,0,2,109
33,2600C,North High School A,1,5,0,2,109
34,6769B,St. Peter-Marian HS,1,5,0,2,107
35,2625A,A,1,5,0,2,100
36,2865A,The Millbury Woolies,1,5,0,2,88
37,9421,Framingham High,1,5,0,2,81
38,2625B,B,0,6,0,0,89
39,4898B,Pioneer Robotics,0,6,0,0,84
